"userId","groceryId","rating","timestamp"
1,1,3.5,2005-04-02 23:53:47
1,2,3.5,2005-04-02 23:31:16
1,3,3.5,2005-04-02 23:33:39
1,4,3.5,2005-04-02 23:32:07
1,5,3.5,2005-04-02 23:29:40
1,6,3.5,2004-09-10 03:09:00
1,7,4,2004-09-10 03:08:54
1,8,4,2005-04-02 23:46:13
1,9,4,2005-04-02 23:35:40
18,1,4,2005-04-02 23:33:46
18,2,4,2005-04-02 23:31:43
18,3,4,2005-04-02 23:32:47
18,4,4,2005-04-02 23:33:18
18,5,3.5,2004-09-10 03:08:29
18,6,3.5,2005-04-02 23:53:00
18,7,4,2005-04-02 23:30:03
18,8,3.5,2005-04-02 23:45:57
18,9,3.5,2005-04-02 23:31:01
18,10,3,2004-09-10 03:08:11
18,11,3.5,2004-09-10 03:07:01
18,12,3.5,2004-09-10 03:06:38
18,13,3.5,2005-04-02 23:53:33
18,14,4,2005-04-02 23:44:40
18,15,4,2004-09-10 03:07:45
18,16,3.5,2005-04-02 23:42:55
18,17,3.5,2005-04-02 23:31:09
18,18,4,2005-04-02 23:44:13
18,19,4,2005-04-02 23:48:21
18,20,3.5,2005-04-02 23:30:09
65,1,3.5,2005-04-02 23:31:30
65,2,4.5,2005-04-02 23:32:22
65,3,4.5,2005-04-02 23:30:24
65,4,4,2005-04-02 23:29:20
65,5,3,2005-04-02 23:30:42
65,6,3.5,2005-04-02 23:33:35
65,7,4,2004-09-10 03:12:57
65,8,4,2004-09-10 03:14:42
65,9,3.5,2005-04-02 23:33:30
65,10,4,2004-09-10 03:13:14
65,11,3.5,2005-04-02 23:30:37
96,1,4,2005-04-02 23:43:21
96,2,3,2005-04-02 23:46:07
96,3,3.5,2004-09-10 03:09:19
96,4,4,2005-04-02 23:43:02
96,5,4,2004-09-10 03:13:14
96,6,4,2005-04-02 23:44:00
96,7,3.5,2004-09-10 03:15:13
96,8,3.5,2005-04-02 23:32:15
96,9,4,2005-04-02 23:42:51
121,1,4,2004-09-10 03:13:06
121,2,3.5,2005-04-02 23:45:25
121,3,3,2004-09-10 03:08:40
121,4,4,2004-09-10 03:14:22
121,5,4,2005-04-02 23:36:30
121,6,3.5,2004-09-10 03:14:16
121,7,3.5,2004-09-10 03:15:58
121,8,4,2005-04-02 23:43:39
121,9,3,2004-09-10 03:09:24
121,10,4,2004-09-10 03:09:06
