"userId","groceryId","rating","timestamp"
1,1,3.5,2005-04-02 23:53:47
1,2,3.5,2005-04-02 23:31:16
1,3,3.5,2005-04-02 23:33:39
1,4,3.5,2005-04-02 23:32:07
1,5,3.5,2005-04-02 23:29:40
1,6,3.5,2004-09-10 03:09:00
1,7,4,2004-09-10 03:08:54
1,8,4,2005-04-02 23:46:13
1,9,4,2005-04-02 23:35:40
18,1,4,2005-04-02 23:33:46
18,2,4,2005-04-02 23:31:43
18,3,4,2005-04-02 23:32:47
18,4,4,2005-04-02 23:33:18
18,5,3.5,2004-09-10 03:08:29
18,6,3.5,2005-04-02 23:53:00
18,7,4,2005-04-02 23:30:03
18,8,3.5,2005-04-02 23:45:57
18,9,3.5,2005-04-02 23:31:01
18,10,3,2004-09-10 03:08:11
18,11,3.5,2004-09-10 03:07:01
18,12,3.5,2004-09-10 03:06:38
18,13,3.5,2005-04-02 23:53:33
18,14,4,2005-04-02 23:44:40
18,15,4,2004-09-10 03:07:45
18,16,3.5,2005-04-02 23:42:55
18,17,3.5,2005-04-02 23:31:09
18,18,4,2005-04-02 23:44:13
18,19,4,2005-04-02 23:48:21
18,20,3.5,2005-04-02 23:30:09
65,1,3.5,2005-04-02 23:31:30
65,2,4.5,2005-04-02 23:32:22
65,3,4.5,2005-04-02 23:30:24
65,4,4,2005-04-02 23:29:20
65,5,3,2005-04-02 23:30:42
65,6,3.5,2005-04-02 23:33:35
65,7,4,2004-09-10 03:12:57
65,8,4,2004-09-10 03:14:42
65,9,3.5,2005-04-02 23:33:30
65,10,4,2004-09-10 03:13:14
65,11,3.5,2005-04-02 23:30:37
96,1,4,2005-04-02 23:43:21
96,2,3,2005-04-02 23:46:07
96,3,3.5,2004-09-10 03:09:19
96,4,4,2005-04-02 23:43:02
96,5,4,2004-09-10 03:13:14
96,6,4,2005-04-02 23:44:00
96,7,3.5,2004-09-10 03:15:13
96,8,3.5,2005-04-02 23:32:15
96,9,4,2005-04-02 23:42:51
121,1,4,2004-09-10 03:13:06
121,2,3.5,2005-04-02 23:45:25
121,3,3,2004-09-10 03:08:40
121,4,4,2004-09-10 03:14:22
121,5,4,2005-04-02 23:36:30
121,6,3.5,2004-09-10 03:14:16
121,7,3.5,2004-09-10 03:15:58
121,8,4,2005-04-02 23:43:39
121,9,3,2004-09-10 03:09:24
121,10,4,2004-09-10 03:09:06
200,1,3.5,2005-04-02 23:53:47
200,2,3.5,2005-04-02 23:31:16
200,3,3.5,2005-04-02 23:33:39
200,4,3.5,2005-04-02 23:32:07
200,5,3.5,2005-04-02 23:29:40
200,6,3.5,2004-09-10 03:09:00
200,7,4,2004-09-10 03:08:54
200,8,4,2005-04-02 23:46:13
200,9,4,2005-04-02 23:35:40
220,1,4,2005-04-02 23:33:46
220,2,4,2005-04-02 23:31:43
220,3,4,2005-04-02 23:32:47
220,4,4,2005-04-02 23:33:18
220,5,3.5,2004-09-10 03:08:29
220,6,3.5,2005-04-02 23:53:00
220,7,4,2005-04-02 23:30:03
220,8,3.5,2005-04-02 23:45:57
220,9,3.5,2005-04-02 23:31:01
220,10,3,2004-09-10 03:08:11
220,11,3.5,2004-09-10 03:07:01
220,12,3.5,2004-09-10 03:06:38
220,13,3.5,2005-04-02 23:53:33
220,14,4,2005-04-02 23:44:40
220,15,4,2004-09-10 03:07:45
220,16,3.5,2005-04-02 23:42:55
220,17,3.5,2005-04-02 23:31:09
220,18,4,2005-04-02 23:44:13
220,19,4,2005-04-02 23:48:21
220,20,3.5,2005-04-02 23:30:09
230,1,3.5,2005-04-02 23:31:30
230,2,4.5,2005-04-02 23:32:22
230,3,4.5,2005-04-02 23:30:24
230,4,4,2005-04-02 23:29:20
230,5,3,2005-04-02 23:30:42
230,6,3.5,2005-04-02 23:33:35
230,7,4,2004-09-10 03:12:57
230,8,4,2004-09-10 03:14:42
230,9,3.5,2005-04-02 23:33:30
230,10,4,2004-09-10 03:13:14
230,11,3.5,2005-04-02 23:30:37
240,1,4,2005-04-02 23:43:21
240,2,3,2005-04-02 23:46:07
240,3,3.5,2004-09-10 03:09:19
240,4,4,2005-04-02 23:43:02
240,5,4,2004-09-10 03:13:14
240,6,4,2005-04-02 23:44:00
240,7,3.5,2004-09-10 03:15:13
240,8,3.5,2005-04-02 23:32:15
240,9,4,2005-04-02 23:42:51
250,1,4,2004-09-10 03:13:06
250,2,3.5,2005-04-02 23:45:25
250,3,3,2004-09-10 03:08:40
250,4,4,2004-09-10 03:14:22
250,5,4,2005-04-02 23:36:30
250,6,3.5,2004-09-10 03:14:16
250,7,3.5,2004-09-10 03:15:58
250,8,4,2005-04-02 23:43:39
250,9,3,2004-09-10 03:09:24
250,10,4,2004-09-10 03:09:06
300,1,3.5,2005-04-02 23:31:16
300,2,3.5,2005-04-02 23:31:16
300,3,3.5,2005-04-02 23:33:39
300,4,3.5,2005-04-02 23:32:07
300,5,3.5,2005-04-02 23:29:40
300,6,3.5,2004-09-10 03:09:00
300,7,4,2004-09-10 03:08:54
300,8,4,2005-04-02 23:46:13
300,9,4,2005-04-02 23:35:40
300,10,4,2005-04-02 23:33:46
300,11,4,2005-04-02 23:31:43
300,12,4,2005-04-02 23:32:47
300,12,4,2005-04-02 23:33:18
300,14,3.5,2004-09-10 03:08:29
300,15,3.5,2005-04-02 23:53:00
300,16,4,2005-04-02 23:30:03
300,17,3.5,2005-04-02 23:45:57
300,18,3.5,2005-04-02 23:31:01
300,19,3,2004-09-10 03:08:11
300,20,3.5,2004-09-10 03:07:01
300,21,3.5,2004-09-10 03:06:38
300,22,3.5,2005-04-02 23:53:33
300,23,4,2005-04-02 23:44:40
300,24,4,2004-09-10 03:07:45
300,25,3.5,2005-04-02 23:42:55
300,26,3.5,2005-04-02 23:31:09
300,27,4,2005-04-02 23:44:13
300,28,4,2005-04-02 23:48:21
300,29,3.5,2005-04-02 23:30:09
300,30,3.5,2005-04-02 23:31:30
300,31,4.5,2005-04-02 23:32:22
300,32,4.5,2005-04-02 23:30:24
300,34,4,2005-04-02 23:29:20
300,35,3,2005-04-02 23:30:42
300,36,3.5,2005-04-02 23:33:35
300,37,4,2004-09-10 03:12:57
300,38,4,2004-09-10 03:14:42
300,39,3.5,2005-04-02 23:33:30
300,40,4,2004-09-10 03:13:14
300,41,3.5,2005-04-02 23:30:37
300,42,4,2005-04-02 23:43:21
300,43,3,2005-04-02 23:46:07
300,44,3.5,2004-09-10 03:09:19
300,45,4,2005-04-02 23:43:02
300,46,4,2004-09-10 03:13:14
300,47,4,2005-04-02 23:44:00
300,48,3.5,2004-09-10 03:15:13
300,49,3.5,2005-04-02 23:32:15
300,50,4,2005-04-02 23:42:51
300,51,4,2004-09-10 03:13:06
300,52,3.5,2005-04-02 23:45:25
300,53,3,2004-09-10 03:08:40
300,54,4,2004-09-10 03:14:22
300,55,4,2005-04-02 23:36:30
300,56,3.5,2004-09-10 03:14:16
300,57,3.5,2004-09-10 03:15:58
300,58,4,2005-04-02 23:43:39
300,59,3,2004-09-10 03:09:24
