userId,productId,interaction,rating
1,1,click,4
1,3,click,3
1,8,click,2
1,9,buy,5
1,11,buy,4
1,13,buy,4
1,16,buy,5
1,17,buy,5
1,19,buy,4
1,26,buy,3
1,28,click,3
1,29,click,3
1,30,click,4
1,31,click,2
1,32,click,5
1,33,click,4
1,34,click,5
1,35,click,5
1,39,click,1
1,126,click,3
1,127,click,5
1,127,buy,4
1,129,click,4
1,130,buy,5
1,131,click,4
1,135,click,5
1,137,buy,4
1,143,click,3
1,144,buy,5
1,186,click,3
1,187,click,4
1,188,buy,5
1,190,click,3
1,193,buy,4
1,194,click,5
1,195,click,3
1,197,buy,4
1,200,click,5
1,201,buy,4
1,202,click,3
1,5,click,2
1,7,buy,5
1,10,click,3
1,12,buy,4
1,14,click,2
1,15,buy,5
1,18,click,3
1,20,buy,4
1,21,click,2
1,22,buy,5
1,23,click,4
1,24,buy,3
1,25,click,5
1,27,click,4
1,36,buy,5
1,37,click,2
1,38,buy,5
1,40,click,3
1,41,buy,4
1,42,click,3
1,43,buy,5
1,44,click,4
1,45,buy,3
1,46,click,5
1,47,buy,2
1,48,click,3
1,49,buy,4
1,50,click,3
1,51,buy,5
1,52,click,2
1,53,buy,4
1,54,click,3
1,55,buy,4
1,56,click,3
1,57,buy,5
1,58,click,4
1,59,buy,3
1,60,click,5
1,61,buy,4
1,62,click,3
1,63,buy,4
1,64,click,2
1,65,buy,5
1,66,click,3
1,67,buy,4
1,68,click,3
1,69,buy,4
1,70,click,5
1,71,buy,3
1,72,click,4
1,73,buy,2
1,74,click,3
1,75,buy,5
1,76,click,2
1,77,buy,5
1,78,click,3
1,79,buy,4
1,80,click,3
1,81,buy,4
1,82,click,5
1,83,buy,3
1,84,click,4
1,85,buy,2
1,86,click,3
1,87,buy,5
1,88,click,2
1,89,buy,5
1,90,click,3
1,91,buy,4
1,92,click,3
1,93,buy,4
1,94,click,5
1,95,buy,3
1,96,click,4
1,97,buy,2
1,98,click,3
1,99,buy,5
1,100,click,2


